City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
457,Port Keats,AU,77.22,clear sky,-14.25,129.55,TDC Village (Hundred Man Camp)
465,Liku,ID,75.67,overcast clouds,-0.7275,119.8922,Kost Raisa & homestay
466,Ciudad Bolivar,VE,85.6,overcast clouds,8.1222,-63.5497,Hotel Edi
467,Manzanillo,CU,77.18,broken clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
472,Potiskum,NG,80.55,clear sky,11.7091,11.0694,Tamir Hotel Ltd
475,Veraval,IN,77.4,clear sky,20.9,70.3667,Lords Inn Somnath
483,Paita,PE,77.0,broken clouds,-5.0892,-81.1144,Hotel Náutico de Paita
484,Pitimbu,BR,77.0,few clouds,-7.4706,-34.8086,Reserva do Abiaí
487,Umm Lajj,SA,76.5,clear sky,25.0213,37.2685,Moon light Furnished Units
490,Bilma,NE,79.41,clear sky,18.6853,12.9164,Expeditions Ténére voyages
497,Hobyo,SO,81.55,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
498,Clarence Town,AU,77.0,overcast clouds,-32.5833,151.7833,River Downs Cottage
502,Muisne,EC,78.8,broken clouds,0.6,-80.0333,Quinta Samay
504,Sambava,MG,75.81,overcast clouds,-14.2667,50.1667,Melrose
508,Sola,VU,81.82,few clouds,-13.8833,167.55,Leumerus Bungalows
510,Ngaoundere,CM,78.06,overcast clouds,7.3167,13.5833,Hotel Mentong Palace
512,Viedma,AR,75.43,overcast clouds,-40.8135,-62.9967,Hotel Cristal
516,Kavaratti,IN,82.81,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
517,Itarema,BR,79.47,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
519,Mareeba,AU,80.6,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
526,Bryan,US,75.99,overcast clouds,30.6744,-96.37,Best Western Premier Bryan College Station
527,Mundwa,IN,78.15,scattered clouds,27.0667,73.8167,"Choudhary Special Hotel, Marwar Mundwa"
529,Kilindoni,TZ,80.4,moderate rain,-7.9139,39.6668,Bustani B&B
531,Lazaro Cardenas,MX,81.91,broken clouds,17.9583,-102.2,Hotel Quinta Antigua
534,Cururupu,BR,76.62,overcast clouds,-1.8283,-44.8683,Pousada Través'cia
535,Doctor Arroyo,MX,77.04,clear sky,23.6667,-100.1833,Hotel Plaza
536,Port Blair,IN,80.06,scattered clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
540,Manta,EC,82.4,broken clouds,-0.95,-80.7333,Balandra Hotel
543,Oriximina,BR,77.41,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
547,Santa Cruz,BO,80.6,heavy intensity rain,-17.8,-63.1667,Aviador Hotel Boutique
551,Dzaoudzi,YT,82.4,moderate rain,-12.7887,45.2699,Le Rocher
557,Kota Kinabalu,MY,75.2,few clouds,5.9749,116.0724,Gaya Centre Hotel
561,Tecoanapa,MX,84.6,clear sky,16.5167,-98.75,Hotel Manglares
563,Willmar,US,84.2,clear sky,45.1219,-95.0433,Lakeview Inn
565,Neuquen,AR,75.2,clear sky,-38.9516,-68.0591,Hotel del Comahue
566,Bequimao,BR,82.4,clear sky,-2.4489,-44.7825,Casa Dom Joaquim
