City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
163,Xinqing,CN,48.2333,129.5,36.66,56,6,4.52,clear sky
164,Tigil,RU,57.8,158.6667,25.47,83,100,10.6,overcast clouds
165,Saint George,US,37.1041,-113.5841,84.99,8,1,14.97,clear sky
166,Kampot,KH,10.6167,104.1833,82.4,69,40,12.66,scattered clouds
167,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.99,72,64,6.87,broken clouds
168,Bengkulu,ID,-3.8004,102.2655,74.48,89,100,4.0,moderate rain
169,Kavieng,PG,-2.5744,150.7967,83.16,74,99,7.49,overcast clouds
170,Praia,CV,14.9215,-23.5087,75.2,43,0,23.02,clear sky
171,Chiapilla,MX,16.5167,-92.7333,86.0,42,75,23.02,broken clouds
172,Lebu,CL,-37.6167,-73.65,59.25,77,100,16.84,moderate rain
173,East London,ZA,-33.0153,27.9116,64.04,84,100,6.91,light rain
174,Pangai,TO,-19.8,-174.35,82.4,65,20,2.3,few clouds
175,Antofagasta,CL,-23.65,-70.4,66.2,82,40,13.8,scattered clouds
176,Saint-Augustin,CA,51.226,-58.6502,37.02,99,100,17.6,overcast clouds
177,Chala,TZ,-7.5833,31.2667,57.49,95,97,2.53,light rain
178,Dikson,RU,73.5069,80.5464,-5.49,100,95,2.59,overcast clouds
179,Rio Grande,BR,-32.035,-52.0986,72.0,89,72,1.99,broken clouds
180,Buin,CL,-33.7333,-70.75,71.6,56,0,11.5,clear sky
181,Constitucion,CL,-35.3333,-72.4167,57.42,90,100,6.17,overcast clouds
182,Puerto Carreno,CO,6.189,-67.4859,79.84,79,100,7.2,overcast clouds
183,Hokitika,NZ,-42.7167,170.9667,60.22,66,2,7.4,clear sky
184,Lamu,KE,-2.2717,40.902,82.4,83,1,9.37,clear sky
185,Cabedelo,BR,-6.9811,-34.8339,77.0,94,20,4.61,few clouds
186,Chabahar,IR,25.2919,60.643,79.0,61,45,19.69,scattered clouds
187,Simbahan,PH,6.3032,120.5836,82.51,75,100,11.56,overcast clouds
188,Komsomolskiy,UZ,40.4272,71.7189,46.4,61,62,4.61,broken clouds
189,Khandbari,NP,27.3747,87.2039,61.52,23,0,4.76,clear sky
190,Port Hedland,AU,-20.3167,118.5667,69.8,64,13,8.05,few clouds
191,Tarabuco,BO,-19.1667,-64.9167,50.79,79,88,5.3,overcast clouds
192,Tomatlan,MX,19.9333,-105.25,83.82,47,0,9.24,clear sky
193,Varel,DE,53.3969,8.1362,30.99,93,65,6.91,light snow
194,Rapid Valley,US,44.0625,-103.1463,68.0,24,1,18.41,clear sky
195,Henties Bay,NA,-22.116,14.2845,61.0,91,0,8.01,clear sky
196,Ostrovnoy,RU,68.0531,39.5131,35.71,88,100,25.52,overcast clouds
197,Lasa,IT,46.6166,10.7002,39.99,55,80,6.13,light rain
198,Pundri,IN,29.75,76.55,72.09,35,96,7.85,overcast clouds
199,Alofi,NU,-19.0595,-169.9187,82.4,78,88,8.05,light rain
200,Podgornoye,RU,51.735,39.1496,35.6,80,0,4.47,clear sky
201,Qaanaaq,GL,77.484,-69.3632,2.12,58,100,3.65,overcast clouds
202,Akim Swedru,GH,5.8938,-1.0164,76.28,91,51,3.62,broken clouds
203,Little Current,CA,45.9793,-81.9248,51.8,53,95,2.3,overcast clouds
204,Waingapu,ID,-9.6567,120.2641,72.79,82,100,25.26,overcast clouds
205,Nyurba,RU,63.2842,118.3319,-8.68,99,88,1.48,overcast clouds
206,Northam,GB,51.0333,-4.2167,39.99,67,35,8.99,scattered clouds
207,Hay River,CA,60.8156,-115.7999,42.8,52,100,6.91,overcast clouds
208,Teacapan,MX,22.55,-105.75,79.79,44,0,7.99,clear sky
209,Maicao,CO,11.3832,-72.2432,83.1,63,97,15.48,overcast clouds
210,Solnechnyy,RU,50.7214,136.6319,32.25,85,100,3.69,overcast clouds
211,Carbonia,IT,39.1672,8.5222,52.0,93,0,6.91,clear sky
212,Gohpur,IN,26.8833,93.6333,68.4,34,0,2.53,clear sky
213,Rantepao,ID,-2.9701,119.8978,68.23,84,95,3.22,overcast clouds
214,Alushta,UA,44.6667,34.4167,41.76,69,10,5.66,clear sky
215,Foshan,CN,23.0268,113.1315,72.0,83,90,2.24,overcast clouds
216,Caravelas,BR,-17.7125,-39.2481,75.27,84,93,6.78,overcast clouds
217,Kamenka,RU,51.3223,42.7678,36.0,89,100,4.72,light rain
218,Boddam,GB,57.4667,-1.7833,35.01,80,75,23.02,light snow
219,Panormos,GR,35.4182,24.6909,71.6,37,20,20.71,few clouds
220,Ilulissat,GL,69.2167,-51.1,15.8,79,75,3.44,light snow
221,Harper,LR,4.375,-7.7169,79.88,87,99,4.59,overcast clouds
222,Richards Bay,ZA,-28.783,32.0377,66.16,89,11,4.09,few clouds
223,Katerero,TZ,-1.4,31.7333,63.7,88,73,4.63,broken clouds
224,Portel,BR,-1.9356,-50.8211,75.67,95,100,2.89,overcast clouds
225,Mahajanga,MG,-15.7167,46.3167,78.8,89,20,3.44,light rain
226,Hauterive,FR,46.0901,3.4459,39.2,87,75,16.11,broken clouds
227,Falmouth,GB,50.1544,-5.0711,39.2,65,20,10.36,few clouds
228,Perama,GR,37.9757,23.5828,57.99,82,75,4.61,broken clouds
229,Shimoda,JP,34.6667,138.95,55.0,69,75,3.0,broken clouds
230,Portland,US,45.5234,-122.6762,61.0,35,20,8.05,few clouds
231,Necochea,AR,-38.5473,-58.7368,69.01,78,0,4.0,clear sky
232,Montepuez,MZ,-13.1256,38.9997,66.63,98,44,4.43,scattered clouds
233,Pemberton,CA,50.3164,-122.8027,51.8,32,20,2.3,few clouds
234,Sawtell,AU,-30.3833,153.1,68.0,94,90,6.91,light rain
